conversation_id_str,full_text_comments,full_text_comments_preprocessed
2.000007837712634e+18,@ARSIPAJA Udah baca tapi di poin-poin nya ga ada poin penangkapan pelaku pembalakan liar dan pihak yang terlibat harus tanggung jawabnya.,arsipaja baca poin poin poin penangkapan pelaku pembalakan liar terlibat tanggung
2.000007837712634e+18,@ARSIPAJA Bare minimum seorang presiden sudah turun drastis.,arsipaja bare minimum presiden turun drastis
2.000007837712634e+18,@ARSIPAJA Kayak kunjungan ke daerah dunia ketiga penug dengan parade ...kasihan banget warga,arsipaja kayak kunjungan daerah dunia ketiga penug parade kasihan warga
2.000007837712634e+18,@ARSIPAJA Orang2 kayak gini dikasih platform taikk,arsipaja kayak gini dikasih platform taikk
2.000007837712634e+18,@ARSIPAJA Buset,arsipaja buset
2.000007837712634e+18,@ARSIPAJA Jaya Suprana dan Sandro Gatra is THE money really that good?,arsipaja jaya suprana sandro gatra the money really that good
2.000007837712634e+18,@ARSIPAJA Ini kl ketahuan dosen jurnalistik gw diomelin abis-abisan sih,arsipaja ketahuan dosen jurnalistik diomelin abis abisan
2.000007837712634e+18,@ARSIPAJA Ya di negara feodal kritik memang dianggap kebencian. Sungkem sujud nurut diutamakan.,arsipaja negara feodal kritik dianggap kebencian sungkem sujud nurut diutamakan
2.000007837712634e+18,@ARSIPAJA yg kita benci itu kebijakan dan kinerjanya bukan orangnya,arsipaja benci kebijakan kinerjanya bukan orangnya
2.000007837712634e+18,@ARSIPAJA Walau saya tau posisi anda terdesak tp untung belum perpanjang langganan @kompascom,arsipaja posisi terdesak untung belum perpanjang langganan kompascom
2.000007837712634e+18,@ARSIPAJA tulisannya si @Kelirumologi buzzer penguasa,arsipaja tulisannya kelirumologi buzzer penguasa
2.000007837712634e+18,@ARSIPAJA apaan banget script nya???,arsipaja script
